feature,dtype,tier,prediction_available
chem_n_rings_min,float64,4_INTRINSIC_deployable,True
chem_n_rings_std,float64,4_INTRINSIC_deployable,True
chem_n_compounds,float64,3_REALIZED_INVESTMENT_survivorship,False
cns_mpo_max,float64,4_INTRINSIC_deployable,True
cns_mpo_median,float64,4_INTRINSIC_deployable,True
cns_mpo_mean,float64,4_INTRINSIC_deployable,True
bbb_rule_max,float64,4_INTRINSIC_deployable,True
bbb_rule_median,float64,4_INTRINSIC_deployable,True
frac_bbb_favorable,float64,4_INTRINSIC_deployable,True
n_cns_compounds,float64,3_REALIZED_INVESTMENT_survivorship,False
fp_n_compounds,float64,3_REALIZED_INVESTMENT_survivorship,False
fp_mean_tanimoto,float64,4_INTRINSIC_deployable,True
fp_chemical_diversity,float64,4_INTRINSIC_deployable,True
chem_maccs_pc1,float64,4_INTRINSIC_deployable,True
chem_maccs_pc2,float64,4_INTRINSIC_deployable,True
chem_maccs_pc3,float64,4_INTRINSIC_deployable,True
chem_maccs_pc4,float64,4_INTRINSIC_deployable,True
chem_maccs_pc5,float64,4_INTRINSIC_deployable,True
chem_maccs_pc6,float64,4_INTRINSIC_deployable,True
chem_maccs_pc7,float64,4_INTRINSIC_deployable,True
chem_maccs_pc8,float64,4_INTRINSIC_deployable,True
chem_maccs_pc9,float64,4_INTRINSIC_deployable,True
chem_maccs_pc10,float64,4_INTRINSIC_deployable,True
chem_maccs_pc11,float64,4_INTRINSIC_deployable,True
chem_maccs_pc12,float64,4_INTRINSIC_deployable,True
chem_maccs_pc13,float64,4_INTRINSIC_deployable,True
chem_maccs_pc14,float64,4_INTRINSIC_deployable,True
chem_maccs_pc15,float64,4_INTRINSIC_deployable,True
chem_maccs_pc16,float64,4_INTRINSIC_deployable,True
admet_qed_mean,float64,4_INTRINSIC_deployable,True
admet_qed_max,float64,4_INTRINSIC_deployable,True
admet_alogp_mean,float64,4_INTRINSIC_deployable,True
admet_psa_mean,float64,4_INTRINSIC_deployable,True
admet_frac_oral_ok,float64,4_INTRINSIC_deployable,True
admet_frac_alogp_ok,float64,4_INTRINSIC_deployable,True
admet_has_approved_drug,float64,3_REALIZED_INVESTMENT_survivorship,False
admet_n_approved,float64,4_INTRINSIC_deployable,True
admet_max_phase,float64,1_POSTHOC_outcome_derived,False
penetrance_context,str,ID_or_meta,False
penetrance_valid,int64,4_INTRINSIC_deployable,True
has_physchem,int64,4_INTRINSIC_deployable,True
has_cheminf_mpo,int64,4_INTRINSIC_deployable,True
has_fingerprint,int64,4_INTRINSIC_deployable,True
has_admet,int64,4_INTRINSIC_deployable,True
is_offspine,int64,4_INTRINSIC_deployable,True
assoc_genetic_association,float64,4_INTRINSIC_deployable,True
assoc_genetic_literature,float64,4_INTRINSIC_deployable,True
assoc_somatic_mutation,float64,4_INTRINSIC_deployable,True
assoc_affected_pathway,float64,4_INTRINSIC_deployable,True
assoc_rna_expression,float64,4_INTRINSIC_deployable,True
assoc_animal_model,float64,4_INTRINSIC_deployable,True
assoc_literature,float64,4_INTRINSIC_deployable,True
first_evidence_year,float64,2_TEMPORAL_confounded,False
lof_oe,float32,4_INTRINSIC_deployable,True
lof_score,float32,4_INTRINSIC_deployable,True
mis_score,float32,4_INTRINSIC_deployable,True
hpa_log_brain_ntpm,float64,4_INTRINSIC_deployable,True
hpa_brain_expressed,float64,4_INTRINSIC_deployable,True
hpa_detected_all,float64,4_INTRINSIC_deployable,True
go_n_process,float64,4_INTRINSIC_deployable,True
go_n_function,float64,4_INTRINSIC_deployable,True
go_n_component,float64,4_INTRINSIC_deployable,True
pw_signal_transduction,object,ID_or_meta,False
pw_immune_system,object,ID_or_meta,False
pw_disease,object,ID_or_meta,False
pw_metabolism_of_proteins,object,ID_or_meta,False
pw_gene_expression_transcription,object,ID_or_meta,False
pw_metabolism,object,ID_or_meta,False
pw_cell_cycle,object,ID_or_meta,False
pw_developmental_biology,object,ID_or_meta,False
pw_metabolism_of_rna,object,ID_or_meta,False
pw_cellular_responses_to_stimuli,object,ID_or_meta,False
pw_dna_repair,object,ID_or_meta,False
pw_vesicle_mediated_transport,object,ID_or_meta,False
pw_chromatin_organization,object,ID_or_meta,False
pw_hemostasis,object,ID_or_meta,False
pw_transport_of_small_molecules,object,ID_or_meta,False
ppi_degree,int64,4_INTRINSIC_deployable,True
ppi_weighted_degree,int64,4_INTRINSIC_deployable,True
ppi_pagerank,float64,4_INTRINSIC_deployable,True
ppi_betweenness,float64,4_INTRINSIC_deployable,True
ppi_eigenvector,float64,4_INTRINSIC_deployable,True
ppi_clustering,float64,4_INTRINSIC_deployable,True
ppi_kcore,int64,4_INTRINSIC_deployable,True
n_genetic_targets,float64,2_TEMPORAL_confounded,False
ppi_disease_module_deg,float64,4_INTRINSIC_deployable,True
ppi_disease_module_frac,float64,4_INTRINSIC_deployable,True
total_evidence,float64,2_TEMPORAL_confounded,False
recent_evidence,float64,2_TEMPORAL_confounded,False
recent_evidence_frac,float64,2_TEMPORAL_confounded,False
gen_gwas_credible_sets,float64,4_INTRINSIC_deployable,True
gen_gene_burden,float64,4_INTRINSIC_deployable,True
gen_eva,float64,4_INTRINSIC_deployable,True
gen_genomics_england,float64,4_INTRINSIC_deployable,True
gen_gene2phenotype,float64,4_INTRINSIC_deployable,True
gen_clingen,float64,4_INTRINSIC_deployable,True
gen_orphanet,float64,4_INTRINSIC_deployable,True
gen_uniprot_variants,float64,4_INTRINSIC_deployable,True
gen_crispr,float64,4_INTRINSIC_deployable,True
gen_crispr_screen,float64,4_INTRINSIC_deployable,True
